Refs,Value,Footprint,QTY,MFR,MPN,SPR,SPN
SW1,SW_DIP_x01,Buttons_Switches_SMD:SW_SPST_B3U-1000P,1,Omron Electronics,B3U-1000P,Mouser,653-B3U-1000P
C24;C25;C26;C16;C20;C10;C8;C15,100n,Capacitors_SMD:C_0402,8,Murata Electronics,GCM155R71C104JA55D,Mouser,81-GCM155R71C104JA5D
C22;C7;C9;C2;C17;C19,10n,Capacitors_SMD:C_0402,6,Murata Electronics,GRM155R71H103KA88D,Mouser,81-GRM155R71H103KA8D
C4,10p,Capacitors_SMD:C_0402,1,Murata Electronics,GRM1555C1E100GA01D,Mouser,81-GRM1555C1E100GA1D
C13,15n,Capacitors_SMD:C_0402,1,Murata Electronics,GRM155R71C153KA01D,Mouser,81-GRM155R71C153KA1D
C14,1n,Capacitors_SMD:C_0402,1,Murata Electronics,GRM155R60J102KA01D,Mouser,81-GRM155R60J102KA1D
C21;C23,20p,Capacitors_SMD:C_0402,2,Murata Electronics,GJM1555C1H200FB01D,Mouser,81-GJM1555C1H200FB1D
C3,220p,Capacitors_SMD:C_0402,1,Murata Electronics,GRM1555C1H221JA01D,Mouser,81-GRM1555C1H221JA01
C11,22n,Capacitors_SMD:C_0402,1,Murata Electronics,GCM155R71E223KA55D,Mouser,81-GCM155R71E223KA5D
C18,22p,Capacitors_SMD:C_0402,1,AVX,04025A220GAT2A,Mouser,581-04025A220G
C12,470p,Capacitors_SMD:C_0402,1,Murata Electronics,GRM155R71H471KA01D,Mouser,81-GRM36X471K50
C5,4p7,Capacitors_SMD:C_0402,1,Murata Electronics,GRM1555C1H4R7CA01D,Mouser,81-GRM1555C1H4R7CA1D
C6;C1,6p8,Capacitors_SMD:C_0402,2,Murata Electronics,GJM1555C1H6R8BB01D,Mouser,81-GJM1555C1H6R8BB1D
C27;C28,100n,Capacitors_SMD:C_0603,2,Murata Electronics,GRM188R71H104JA93D,Mouser,81-GRM188R71H104JA3D
P3,SMA,Connectors:SMA_THT_Jack_Straight,1,TE Connectivity,5-1814832-1,Mouser,571-5-1814832-1
X1,TCXO,Crystals:Crystal_SMD_3225-4pin_3.2x2.5mm,1,ECS,ECS-TXO-3225-147.4-TR,Mouser,520-TXO-3225-14.74T
Y1,8MHz,Crystals:Crystal_SMD_Abracon_ABM3-2pin_5.0x3.2mm,1,ABRACON,ABM3-8.000MHz-D2Y-T,Mouser,815-ABM3-8-D2Y-T
U1,ADF7021,Housings_DFN_QFN:QFN-48-1EP_7x7mm_Pitch0.5mm,1,Analog Devices,ADF7021BCPZ,Mouser,584-ADF7021BCPZ
U2,STM32F103C8T6,Housings_QFP:LQFP-48_7x7mm_Pitch0.5mm,1,STMicroelectronics,STM32F103C8T6,Mouser,511-STM32F103C8T6
D7,amber,LEDs:LED_0402,1,ROHM Semiconductor,SML-P12DTT86R,Mouser,755-SML-P12DTT86R
D2;D6,green,LEDs:LED_0402,2,ROHM Semiconductor,SML-P13PTT86R,Mouser,755-SML-P13PTT86R
D4;D8;D1,red,LEDs:LED_0402,3,ROHM Semiconductor,SML-P12U2TT86R,Mouser,755-SML-P12U2TT86R
D3;D5,yellow,LEDs:LED_0402,2,ROHM Semiconductor,SML-P12WTT86R,Mouser,755-SML-P12WTT86R
AE1,AN1603_433,MMDVM:AN1603,1,RainSun,AN1603-433,AliExpress,
P1,BOOT0,Pin_Headers:Pin_Header_Straight_1x03_Pitch2.54mm,1,TE Connectivity / AMP,826629-3,Mouser,571-826629-3
P2,DISPLAY,Pin_Headers:Pin_Header_Straight_1x04_Pitch2.54mm,1,TE Connectivity / AMP,826629-4,Mouser,571-826629-4
P4,STLINK,Pin_Headers:Pin_Header_Straight_1x04_Pitch2.54mm,1,TE Connectivity / AMP,826629-4,Mouser,571-826629-4
R1;R7,10k,Resistors_SMD:R_0402,2,Vishay,CRCW040210K0FKED,Mouser,71-CRCW0402-10K-E3
L3,13n,Resistors_SMD:R_0402,1,Coilcraft,0402CS-13NXJLU,Mouser,994-0402CS-13NXJLU
R8;R9;R10;R11;R12;R13;R14;R15;R16;R17;R18,1k,Resistors_SMD:R_0402,11,Panasonic,ERJ-PA2D1001X,Mouser,667-ERJ-PA2D1001X
R2,1k1,Resistors_SMD:R_0402,1,Susumu,RR0510P-112-D,Mouser,754-RR0510P-112D
L2,20n,Resistors_SMD:R_0402,1,TE Connectivity / Sigma Inductors,36501E20NJTDG,Mouser,279-36501E20NJTDG
L1,22n,Resistors_SMD:R_0402,1,Coilcraft,0402AF-220XJLU,Mouser,994-0402AF-220XJLU
R6,270,Resistors_SMD:R_0402,1,Panasonic,ERA-2AEB271X,Mouser,667-ERA-2AEB271X
L4,27n,Resistors_SMD:R_0402,1,Coilcraft,0402CS-27NXJLU,Mouser,994-0402CS-27NXJLU
R3,3k8,Resistors_SMD:R_0402,1,Susumu,RR0510P-3831-D,Mouser,754-RR0510P-3831D
R4,3r9,Resistors_SMD:R_0402,1,Vishay,CRCW04023R90FKED,Mouser,71-CRCW04023R90FKED
R5,560,Resistors_SMD:R_0402,1,Panasonic,ERA-2AEB561X,Mouser,667-ERA-2AEB561X
PI1,RPI-ZERO,pizero:RPI-Zero-RASPBERRYPI_BASTELSTUBE_V13_RASPI_BOARD_B+_FULL,1,Harwin,M20-7832046,Mouser,855-M20-7832046
