Ref,Val,Package,PosX,PosY,Rot,Side
"C1","6p8","C_0402",-0.033465,-0.442913,270.000000,top
"C2","10n","C_0402",0.118110,-0.318898,0.000000,top
"C3","220p","C_0402",0.118110,-0.269685,0.000000,top
"C4","10p","C_0402",0.118110,-0.423228,180.000000,top
"C5","4p7","C_0402",0.118110,-0.470472,180.000000,top
"C6","6p8","C_0402",0.118110,-0.570866,180.000000,top
"C7","10n","C_0402",0.118110,-0.673228,180.000000,top
"C8","100n","C_0402",0.118110,-0.220472,180.000000,top
"C9","10n","C_0402",0.212598,-0.320866,180.000000,top
"C10","100n","C_0402",0.299213,-0.673228,0.000000,top
"C11","22n","C_0402",0.212598,-0.220472,180.000000,top
"C12","470p","C_0402",0.358268,-0.139764,90.000000,top
"C13","15n","C_0402",0.411417,-0.139764,90.000000,top
"C14","1n","C_0402",0.460630,-0.228346,90.000000,top
"C15","100n","C_0402",0.513780,-0.137795,270.000000,top
"C16","100n","C_0402",1.413386,-0.811024,270.000000,top
"C17","10n","C_0402",0.561024,-0.137795,90.000000,top
"C18","22p","C_0402",0.669291,-0.242126,180.000000,top
"C19","10n","C_0402",0.836614,-0.149606,270.000000,top
"C20","100n","C_0402",0.669291,-0.498031,180.000000,top
"C21","20p","C_0402",1.000000,-0.811024,90.000000,top
"C22","10n","C_0402",0.669291,-0.442913,180.000000,top
"C23","20p","C_0402",1.354331,-0.811024,90.000000,top
"C24","100n","C_0402",0.922835,-0.596457,180.000000,top
"C25","100n","C_0402",1.433071,-0.318898,90.000000,top
"C26","100n","C_0402",1.066929,-0.210630,90.000000,top
"C27","100n","C_0402",-0.122047,-0.505906,90.000000,top
"C28","100n","C_0402",-0.190945,-0.421260,180.000000,top
"C29","100n","C_0402",-0.141732,-0.003937,0.000000,top
"C30","10u/10V","CP_Tantalum_Case-A_EIA-3216-18_Reflow",0.035433,-0.092520,0.000000,top
"C31","10u","C_0402",-0.141732,-0.122047,180.000000,top
"D1","red","LED_0402",1.818898,-0.033465,180.000000,top
"D2","green","LED_0402",1.720472,0.011811,180.000000,top
"D3","yellow","LED_0402",1.720472,-0.082677,180.000000,top
"D4","red","LED_0402",1.818898,-0.129921,180.000000,top
"D5","yellow","LED_0402",1.720472,-0.177165,180.000000,top
"D6","green","LED_0402",1.818898,-0.224409,180.000000,top
"D7","amber","LED_0402",1.720472,-0.271654,180.000000,top
"D8","red","LED_0402",1.818898,-0.318898,180.000000,top
"D9","blue","LED_0402",1.720472,-0.366142,180.000000,top
"L1","22n","L_0402",-0.096457,-0.421260,0.000000,top
"L2","20n","L_0402",0.027559,-0.421260,0.000000,top
"L3","13n","L_0402",0.118110,-0.372047,180.000000,top
"L4","27n","L_0402",0.118110,-0.519685,0.000000,top
"L5","10u","L_0402",-0.141732,-0.062992,0.000000,top
"R1","10k","R_0402",0.922835,-0.517717,180.000000,top
"R2","1k1","R_0402",0.118110,-0.622047,180.000000,top
"R3","3k8","R_0402",0.208661,-0.673228,0.000000,top
"R4","3r9","R_0402",0.212598,-0.271654,180.000000,top
"R5","560","R_0402",0.358268,-0.228346,90.000000,top
"R6","270","R_0402",0.409449,-0.228346,90.000000,top
"R7","10k","R_0402",1.480315,-0.811024,90.000000,top
"R8","1k","R_0402",0.669291,-0.291339,180.000000,top
"R9","1k","R_0402",0.669291,-0.342520,180.000000,top
"R10","1k","R_0402",0.669291,-0.393701,180.000000,top
"R11","1k","R_0402",1.602362,0.011811,180.000000,top
"R12","1k","R_0402",1.602362,-0.082677,180.000000,top
"R13","1k","R_0402",1.602362,-0.129921,180.000000,top
"R14","1k","R_0402",1.602362,-0.177165,180.000000,top
"R15","1k","R_0402",1.602362,-0.224409,180.000000,top
"R16","1k","R_0402",1.602362,-0.271654,180.000000,top
"R17","1k","R_0402",1.602362,-0.318898,180.000000,top
"R18","1k","R_0402",1.602362,-0.035433,0.000000,top
"R19","1k","R_0402",1.602362,-0.366142,180.000000,top
"SW1","DNI","SW_SPST_B3U-1000P",1.618110,-0.807087,0.000000,top
"U1","ADF7021","QFN-48-1EP_7x7mm_Pitch0.5mm",0.440699,-0.472195,0.000000,top
"U2","STM32F103C8T6","LQFP-48_7x7mm_Pitch0.5mm",1.196850,-0.476378,90.000000,top
"X1","TCXO","Crystal_SMD_3225-4pin_3.2x2.5mm",0.675197,-0.122047,180.000000,top
"Y1","8MHz","Crystal_SMD_Abracon_ABM3-2pin_5.0x3.2mm",1.175197,-0.791339,0.000000,top
